City,Avg_Severity,Accident_Count,Severe_Accidents_Pct
Meriden,2.14050822122571,2676,12.25710014947683
Glastonbury,2.140401146131805,349,8.595988538681947
Woodbridge,2.1363636363636362,176,6.8181818181818175
Alpharetta,2.113156100886162,1467,9.74778459441036
Trumbull,2.1054502369668247,844,6.990521327014218
Hamden,2.098984771573604,394,5.83756345177665
New Canaan,2.0673758865248226,282,5.319148936170213
Old Greenwich,2.0594059405940595,101,5.9405940594059405
Augusta,2.026702596766291,12246,5.405846807120692
Hephzibah,1.9774058577405857,1195,1.8410041841004186
