Feature,Correlation,Strength,Direction
Traffic_Signal,-0.10600731054928972,Weak,Negative
Crossing,-0.0830945739033256,Very Weak / None,Negative
Temperature(F),0.06865937181146416,Very Weak / None,Positive
Hour,0.0498489356998087,Very Weak / None,Positive
IsWeekend,0.04634469265274387,Very Weak / None,Positive
Amenity,-0.029957415666613696,Very Weak / None,Negative
Wind_Speed(mph),0.029031123994398295,Very Weak / None,Positive
Month,-0.027471829671186734,Very Weak / None,Negative
DayOfWeek,0.026403140588597152,Very Weak / None,Positive
Rush_Hour,-0.02438306759351771,Very Weak / None,Negative
Station,-0.020956003347682637,Very Weak / None,Negative
Freezing_Conditions,-0.01891196236693125,Very Weak / None,Negative
Fog_Night,-0.017388154198172672,Very Weak / None,Negative
Stop,0.01591792333997539,Very Weak / None,Positive
Traffic_Calming,-0.015876864676453325,Very Weak / None,Negative
Safe_Road,-0.015876864676453325,Very Weak / None,Negative
Dangerous_Intersection,-0.0155054936466118,Very Weak / None,Negative
Junction,-0.015007190098747394,Very Weak / None,Negative
No_Exit,-0.014156363894774721,Very Weak / None,Negative
Visibility(mi),0.012321352799566122,Very Weak / None,Positive
Duration_Minutes,0.011593605674965935,Very Weak / None,Positive
Low_Visibility,-0.010741213220076871,Very Weak / None,Negative
Late_Night,0.010030688254720387,Very Weak / None,Positive
Rain_Junction,-0.006900467900884669,Very Weak / None,Negative
Humidity(%),-0.006803077034379145,Very Weak / None,Negative
Heavy_Rain,0.006319423703700575,Very Weak / None,Positive
Precipitation(in),0.002425785291630974,Very Weak / None,Positive
Railway,-0.0022182175832731843,Very Weak / None,Negative
Roundabout,,Very Weak / None,Negative
