Weather_Condition,Accidents,Percentage,Avg_Severity
FAIR,73999,30.804037881153086,2.3447343883025447
MOSTLY CLOUDY,32144,13.380788843792276,2.514186162269786
CLEAR,31047,12.924133624726819,2.6140045737108255
CLOUDY,26511,11.035903840149858,2.347138923465731
PARTLY CLOUDY,19528,8.129045686335727,2.5070667759115115
LIGHT RAIN,15529,6.46435633260485,2.4682851439242706
OVERCAST,15087,6.280362160474555,2.652084576125141
SCATTERED CLOUDS,7541,3.139140389218441,2.6931441453388145
FOG,3985,1.6588614840253928,2.3171894604767878
RAIN,3764,1.5668643979602457,2.4673219978746013
