City,Avg_Severity,Accident_Count,Std_Dev,Severe_Accidents_Pct
Pomfret Center,3.018867924528302,106,0.9854284258077481,52.83
Kathleen,2.98,100,0.9845267539751923,51.0
Cedartown,2.942857142857143,105,0.9788982369183008,49.52
Ellijay,2.8944954128440368,218,0.980391613881271,46.33
Elberton,2.85,100,0.9885710532241614,43.0
Jewett City,2.7958115183246073,191,0.9487849548783287,42.93
Franklin,2.794736842105263,190,0.97859292367955,40.0
Temple,2.7745664739884393,346,0.739008707310979,58.96
Leesburg,2.7606837606837606,117,0.9436683068051476,41.03
West Point,2.73972602739726,219,0.7546929127033092,55.25
Soperton,2.7389162561576357,203,0.7680583774493139,54.19
Senoia,2.7378048780487805,164,0.9455274431463797,39.02
LaGrange,2.7357512953367875,386,0.7226334094676478,57.25
Palmetto,2.7329842931937174,191,0.6624603223585289,63.35
Monroe,2.7327586206896552,348,0.939290540602908,39.08
Tifton,2.7294117647058824,255,0.688286162575807,60.0
Higganum,2.7281553398058254,103,0.9517185153687601,37.86
Willington,2.723529411764706,170,0.8703052662866515,44.71
Greensboro,2.719887955182073,357,0.7753013106155281,52.66
Bremen,2.7094972067039107,179,0.8103746350605113,48.6
Fort Valley,2.7053291536050157,319,0.781670804535463,51.1
Lake Park,2.7045454545454546,132,0.7386663902507352,53.79
Winder,2.701388888888889,144,0.9317992303869997,37.5
Loganville,2.701219512195122,328,0.936385647106686,37.5
Thomson,2.6952789699570814,233,0.7524809737168316,51.93
Covington,2.686725663716814,565,0.775912231909924,49.38
Fayetteville,2.68299711815562,347,0.9141306919456262,37.46
Kingsland,2.6826923076923075,104,0.7538177663033835,50.96
Harlem,2.6808510638297873,141,0.6247187817178249,60.99
Jackson,2.673142857142857,875,0.7612759200705362,49.37
Midway,2.672514619883041,171,0.795800812771972,46.78
Sharpsburg,2.668918918918919,148,0.9286704233935196,36.49
Fairburn,2.667687595712098,653,0.6633344475982212,56.2
Bristol,2.6641791044776117,134,0.9414756442590676,35.07
Hoschton,2.6588235294117646,255,0.7511609048373047,49.02
Dallas,2.658119658119658,117,0.9017453685472598,36.75
Conyers,2.6554726368159205,804,0.7432267172088967,50.75
