County,Avg_Severity,Accident_Count,Std_Dev,Severe_Accidents_Pct
Dodge,3.0,58,0.991189255566704,51.72
Jones,3.0,65,0.9682458365518541,53.85
Jefferson,2.9846153846153847,65,1.0230516191202745,50.77
Windham,2.9474393530997305,742,0.9444418945961726,52.7
Litchfield,2.898326898326898,777,0.9718776498076558,47.23
Gilmer,2.8816326530612244,245,0.9741901784802803,46.12
Macon,2.8793103448275863,58,0.9925615665538733,44.83
Decatur,2.85,60,0.9884931178656712,43.33
Tattnall,2.8484848484848486,66,0.964643006783406,45.45
Heard,2.8226600985221677,203,0.984070561008485,41.38
Colquitt,2.8219178082191783,73,0.9767074188515074,42.47
Brooks,2.8157894736842106,114,0.9645558331617958,42.98
Elbert,2.8017241379310347,116,0.9799718504050036,40.52
Lee,2.792307692307692,130,0.953948577800531,42.31
Talbot,2.7875,80,0.9897416873078233,41.25
Chattooga,2.7874015748031495,127,0.9728857521128407,40.16
Polk,2.7777777777777777,198,0.9564693488770198,40.91
Pickens,2.7642857142857142,140,0.9415333757420268,41.43
Wilkinson,2.7586206896551726,58,0.9608173572278932,39.66
Carroll,2.7571743929359824,906,0.7870346938556798,53.97
Walton,2.7496318114874816,679,0.9434117210670601,40.21
Toombs,2.7472527472527473,91,0.9614041420224503,38.46
Treutlen,2.7450980392156863,204,0.7712350086820657,54.41
Morgan,2.729896907216495,485,0.7735510246241205,52.99
Greene,2.7239583333333335,384,0.7862054544049656,52.08
Meriwether,2.720720720720721,333,0.9362624796520997,38.44
Thomas,2.7162162162162162,74,0.9439101168938323,37.84
Tift,2.7009646302250805,311,0.6796339399215808,58.2
Coffee,2.7,90,0.9415502397283879,36.67
Upson,2.696969696969697,99,0.9417151683264053,36.36
McDuffie,2.6923076923076925,234,0.7522388724521807,51.71
Crawford,2.690909090909091,55,0.920401025172206,38.18
Newton,2.6847826086956523,736,0.7779876056734352,49.59
Oglethorpe,2.6842105263157894,57,0.9848476085314292,35.09
Tolland,2.682287529785544,1259,0.8611537958037461,42.49
Butts,2.6740088105726874,908,0.7854145935205258,47.58
Wheeler,2.6666666666666665,51,0.9521904571390466,33.33
Rockdale,2.661125319693095,782,0.7361162312527756,51.02
Haralson,2.6597014925373132,335,0.8027012220894358,45.07
Pike,2.6569767441860463,172,0.920086532629502,34.88
Worth,2.655844155844156,154,0.9173695710029978,35.06
Houston,2.654424040066778,1198,0.8321703928462396,42.15
Floyd,2.6507936507936507,252,0.9217812335415206,34.92
Twiggs,2.6503067484662575,326,0.7486089033876371,48.47
Harris,2.649484536082474,291,0.7839938042515834,45.7
Sumter,2.6491228070175437,57,0.9541493606905924,35.09
Baldwin,2.6432748538011697,171,0.891923783613664,36.26
Coweta,2.631253223310985,1939,0.7761093643568492,45.28
Barrow,2.6297117516629713,451,0.8207880529341111,41.46
Liberty,2.6272040302267,397,0.8239259866631636,41.06
Lowndes,2.6267123287671232,584,0.7864889165796481,43.49
Troup,2.6194690265486726,1130,0.7507726645356324,45.58
Stephens,2.6179775280898876,89,0.9108639502433449,32.58
Fayette,2.616279069767442,516,0.8944524341295614,34.3
Burke,2.6129032258064515,93,0.9092789554332757,32.26
Peach,2.6076923076923078,650,0.7010464756046392,48.46
Bleckley,2.606741573033708,89,0.8204485681084059,39.33
Henry,2.605880899431678,4047,0.592918340770405,55.25
DeKalb,2.605677076168203,21807,0.5837309895834311,56.1
Dooly,2.6056338028169015,284,0.6342157615592834,52.46
Cherokee,2.603361344537815,1785,0.6915488530146047,48.96
Terrell,2.6,60,0.8868149062606593,33.33
Macon-Bibb County,2.5997973657548124,987,0.6549235895795616,53.8
Hart,2.5981308411214954,107,0.72502196562837,45.79
Crisp,2.5934959349593494,123,0.7224434673439369,45.53
Effingham,2.592964824120603,199,0.8288672773145729,39.2
Monroe,2.589581689029203,1267,0.6606656119294281,49.41
Clayton,2.5851168916694105,6074,0.6157404241108642,52.12
Dawson,2.5846153846153848,130,0.8785525038875368,32.31
Camden,2.5828402366863905,338,0.6937201852823607,46.45
Candler,2.5794392523364484,107,0.7652522481838125,41.12
Taliaferro,2.5784313725490198,102,0.7097102254825791,45.1
Ware,2.5764705882352943,85,0.8779910861386552,31.76
Laurens,2.5734870317002883,347,0.7109305159653501,44.96
Douglas,2.5729537366548043,1967,0.6463297815872722,49.67
Bibb,2.5727391874180867,1526,0.6906523170740347,46.33
Hall,2.5720601237842615,1131,0.7483770640594556,41.82
Stewart,2.5714285714285716,84,0.854269423454063,33.33
Banks,2.570694087403599,389,0.7167112615725746,44.22
New London,2.569683908045977,2784,0.7488118080727091,41.2
Bartow,2.564265536723164,1416,0.6726099348756471,46.26
Bulloch,2.558333333333333,360,0.7734720763704342,38.89
Gordon,2.5576923076923075,520,0.7400843970635638,41.15
Habersham,2.5559701492537314,268,0.8829649739219617,29.85
Cobb,2.5555645356825347,12373,0.5835503301799052,51.72
Paulding,2.553672316384181,177,0.871714979594659,31.07
Screven,2.549019607843137,51,0.8789476774005623,29.41
Spalding,2.5444096133751306,957,0.8589685550035535,30.83
Jeff Davis,2.540983606557377,61,0.886449293375981,27.87
