,Severity,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Distance(mi),Hour,Month,DayOfWeek,Duration_Minutes
Severity,1.0,0.0686593718114543,-0.006803077034373059,0.06015439804029001,0.012321352799576652,0.029031123994400238,0.002425785291630701,-0.06729335188985427,0.04984893569981188,-0.027471829671180628,0.026403140588594037,0.011593605674966815
Temperature(F),0.0686593718114543,1.0,-0.15020981215634976,-0.13183068346452453,0.14902208271933018,-0.03256289241790443,-0.003568801784432702,-0.03608741098974876,0.18656836033602017,0.12041789182018237,-0.006557468177447019,-0.0029632338154618404
Humidity(%),-0.006803077034373059,-0.15020981215634976,1.0,-0.11138138200428438,-0.46348479244954244,-0.2611771977684576,0.18294344675220878,-0.007729180500732335,-0.3265813812162695,0.06886218628809648,-0.04123155943228037,0.002724770014097547
Pressure(in),0.06015439804029001,-0.13183068346452453,-0.11138138200428438,1.0,0.07419448749143893,0.06999283463061436,-0.06151474893356873,-0.07313880441058174,-0.01963505827880795,0.006625228557521552,-0.05252283995681211,0.001417697770494845
Visibility(mi),0.012321352799576652,0.14902208271933018,-0.46348479244954244,0.07419448749143893,1.0,0.03360912009908346,-0.32026591133690335,-0.000566871983568645,0.1341103493964606,0.026654598378274955,0.019927063313061197,-0.0043410081721017004
Wind_Speed(mph),0.029031123994400238,-0.03256289241790443,-0.2611771977684576,0.06999283463061436,0.03360912009908346,1.0,0.052130847282623106,0.004725554553484534,0.10360747598201524,-0.09539049485249236,0.022066886345325464,0.0005677445263329162
Precipitation(in),0.002425785291630701,-0.003568801784432702,0.18294344675220878,-0.06151474893356873,-0.32026591133690335,0.052130847282623106,1.0,-0.004306009826476256,-0.008198054238432517,-0.016679293986254253,-0.0052576382574003565,-0.0002265431627755807
Distance(mi),-0.06729335188985427,-0.03608741098974876,-0.007729180500732335,-0.07313880441058174,-0.000566871983568645,0.004725554553484534,-0.004306009826476256,1.0,0.00412117695407659,0.020746733523139372,0.02157904571383951,0.018140864579892675
Hour,0.04984893569981188,0.18656836033602017,-0.3265813812162695,-0.01963505827880795,0.1341103493964606,0.10360747598201524,-0.008198054238432517,0.00412117695407659,1.0,0.014706942328435182,0.05541196078161714,0.00367423550015393
Month,-0.027471829671180628,0.12041789182018237,0.06886218628809648,0.006625228557521552,0.026654598378274955,-0.09539049485249236,-0.016679293986254253,0.020746733523139372,0.014706942328435182,1.0,0.01210901353883308,-0.002991452943683926
DayOfWeek,0.026403140588594037,-0.006557468177447019,-0.04123155943228037,-0.05252283995681211,0.019927063313061197,0.022066886345325464,-0.0052576382574003565,0.02157904571383951,0.05541196078161714,0.01210901353883308,1.0,-0.001558537777201147
Duration_Minutes,0.011593605674966815,-0.0029632338154618404,0.002724770014097547,0.001417697770494845,-0.0043410081721017004,0.0005677445263329162,-0.0002265431627755807,0.018140864579892675,0.00367423550015393,-0.002991452943683926,-0.001558537777201147,1.0
