Feature,Mean,Median,Std_Dev,Min,Max,Range
Severity,2.4597,2.0,0.6312,1.0,4.0,3.0
Temperature(F),61.4248,63.0,16.9865,-37.0,115.0,152.0
Humidity(%),68.3712,70.0,21.5225,4.0,100.0,96.0
Pressure(in),29.6387,29.8,0.519,2.99,30.85,27.86
Visibility(mi),8.9777,10.0,2.4222,0.0,12.0,12.0
Wind_Speed(mph),7.0136,6.9,4.4866,0.0,50.6,50.6
Precipitation(in),0.0079,0.0,0.0481,0.0,2.27,2.27
Distance(mi),0.7734,0.096,1.822,0.0,132.499,132.499
Hour,12.4251,13.0,5.4815,0.0,23.0,23.0
Month,6.818,7.0,3.6213,1.0,12.0,11.0
DayOfWeek,2.64,3.0,1.8194,0.0,6.0,6.0
Duration_Minutes,118.9088,59.8,1650.94,3.0,432540.0,432537.0
