Feature,Present_Count,Present_Percentage,Severity_When_Present,Severity_When_Absent,Difference,P_Value,Significant,Severity1_Pct_Present,Severity2_Pct_Present,Severity3_Pct_Present,Severity4_Pct_Present,Severity1_Pct_Absent,Severity2_Pct_Absent,Severity3_Pct_Absent,Severity4_Pct_Absent
Amenity,993,0.41,2.1662,2.4609,-0.2947,0.0,True,0.7,87.51,6.24,5.54,0.45,60.08,32.42,7.06
Bump,0,0.0,,2.4597,,1.0,False,0.0,0.0,0.0,0.0,0.45,60.19,32.31,7.05
Crossing,11954,4.98,2.2305,2.4717,-0.2412,0.0,True,1.46,80.13,12.3,6.11,0.4,59.14,33.36,7.1
Give_Way,673,0.28,2.4517,2.4597,-0.008,0.743201,False,0.89,68.8,14.56,15.75,0.45,60.16,32.36,7.03
Junction,22828,9.5,2.4304,2.4627,-0.0323,0.0,True,0.25,64.66,26.88,8.21,0.47,59.72,32.88,6.93
No_Exit,138,0.06,2.087,2.4599,-0.3729,0.0,True,1.45,89.13,8.7,0.72,0.45,60.17,32.32,7.06
Railway,1158,0.48,2.4396,2.4598,-0.0202,0.276946,False,1.12,65.46,21.76,11.66,0.45,60.16,32.36,7.03
Roundabout,0,0.0,,2.4597,,1.0,False,0.0,0.0,0.0,0.0,0.45,60.19,32.31,7.05
Station,409,0.17,2.1394,2.4602,-0.3209,0.0,True,0.24,89.24,6.85,3.67,0.45,60.14,32.35,7.06
Stop,1989,0.83,2.5696,2.4588,0.1109,0.0,True,0.55,68.43,4.52,26.5,0.45,60.12,32.54,6.89
Traffic_Calming,135,0.06,2.037,2.4599,-0.4229,0.0,True,0.74,95.56,2.96,0.74,0.45,60.17,32.32,7.06
Traffic_Signal,19302,8.03,2.2333,2.4794,-0.2462,0.0,True,1.79,78.92,13.45,5.83,0.33,58.55,33.96,7.16
Turning_Loop,0,0.0,,2.4597,,1.0,False,0.0,0.0,0.0,0.0,0.45,60.19,32.31,7.05
